PCR 検査陽性者数(単日),死亡者数
5.0,1.0
4.0,1.0
1.0,1.0
6.0,1.0
8.0,1.0
9.0,1.0
8.0,1.0
13.0,1.0
23.0,1.0
10.0,1.0
16.0,1.0
8.0,1.0
22.0,1.0
24.0,3.0
19.0,4.0
9.0,5.0
14.0,5.0
14.0,6.0
22.0,6.0
34.0,6.0
33.0,6.0
54.0,6.0
44.0,6.0
35.0,6.0
27.0,7.0
60.0,9.0
52.0,12.0
55.0,15.0
34.0,19.0
62.0,21.0
29.0,22.0
16.0,24.0
45.0,28.0
39.0,29.0
39.0,31.0
52.0,33.0
35.0,35.0
45.0,36.0
39.0,41.0
89.0,42.0
93.0,43.0
93.0,45.0
96.0,46.0
222.0,49.0
151.0,52.0
80.0,54.0
227.0,56.0
257.0,57.0
281.0,60.0
353.0,63.0
365.0,69.0
346.0,70.0
248.0,73.0
365.0,80.0
522.0,81.0
574.0,85.0
640.0,88.0
644.0,94.0
486.0,98.0
387.0,102.0
446.0,109.0
552.0,119.0
558.0,136.0
572.0,148.0
577.0,154.0
377.0,161.0
346.0,171.0
389.0,186.0
446.0,277.0
439.0,287.0
444.0,317.0
371.0,334.0
224.0,348.0
182.0,351.0
279.0,376.0
217.0,389.0
202.0,415.0
282.0,432.0
288.0,458.0
195.0,492.0
181.0,510.0
119.0,521.0
104.0,543.0
107.0,551.0
88.0,600.0
108.0,613.0
66.0,621.0
58.0,643.0
87.0,668.0
55.0,687.0
99.0,710.0
55.0,725.0
56.0,744.0
29.0,749.0
30.0,763.0
32.0,771.0
37.0,777.0
45.0,796.0
30.0,808.0
30.0,820.0
40.0,830.0
22.0,846.0
27.0,858.0
37.0,867.0
62.0,874.0
63.0,886.0
46.0,891.0
33.0,892.0
36.0,894.0
51.0,900.0
26.0,903.0
45.0,907.0
41.0,914.0
45.0,916.0
32.0,916.0
22.0,916.0
30.0,919.0
36.0,920.0
40.0,922.0
57.0,924.0
43.0,925.0
62.0,925.0
60.0,927.0
42.0,931.0
43.0,935.0
68.0,935.0
54.0,952.0
65.0,953.0
48.0,953.0
40.0,955.0
53.0,963.0
89.0,967.0
79.0,968.0
99.0,970.0
88.0,970.0
111.0,971.0
110.0,971.0
132.0,973.0
125.0,974.0
194.0,975.0
249.0,976.0
268.0,976.0
195.0,976.0
174.0,977.0
203.0,979.0
203.0,980.0
352.0,981.0
418.0,981.0
374.0,981.0
390.0,981.0
246.0,981.0
326.0,983.0
438.0,984.0
619.0,984.0
588.0,984.0
654.0,984.0
501.0,984.0
405.0,987.0
618.0,988.0
792.0,989.0
966.0,991.0
766.0,992.0
796.0,995.0
834.0,995.0
583.0,997.0
971.0,1000.0
1245.0,1003.0
1305.0,1005.0
1575.0,1010.0
1537.0,1011.0
1325.0,1011.0
941.0,1015.0
1240.0,1021.0
1344.0,1025.0
1479.0,1032.0
1597.0,1036.0
1521.0,1039.0
1485.0,1046.0
829.0,1051.0
691.0,1058.0
969.0,1062.0
1175.0,1072.0
1355.0,1084.0
1233.0,1087.0
1015.0,1098.0
630.0,1114.0
903.0,1127.0
1078.0,1143.0
1176.0,1154.0
1035.0,1168.0
985.0,1175.0
737.0,1180.0
491.0,1195.0
709.0,1208.0
893.0,1225.0
870.0,1237.0
869.0,1254.0
841.0,1263.0
598.0,1278.0
430.0,1295.0
624.0,1306.0
585.0,1318.0
654.0,1329.0
582.0,1348.0
598.0,1356.0
447.0,1362.0
285.0,1376.0
510.0,1392.0
507.0,1405.0
709.0,1411.0
637.0,1422.0
639.0,1438.0
438.0,1441.0
262.0,1450.0
530.0,1460.0
543.0,1472.0
478.0,1481.0
569.0,1494.0
592.0,1499.0
469.0,1499.0
306.0,1507.0
321.0,1511.0
216.0,1519.0
475.0,1531.0
567.0,1539.0
634.0,1544.0
478.0,1547.0
294.0,1556.0
527.0,1563.0
569.0,1570.0
619.0,1577.0
537.0,1589.0
562.0,1596.0
394.0,1598.0
269.0,1601.0
495.0,1604.0
502.0,1612.0
623.0,1615.0
594.0,1623.0
